20231218	Making a circuit using Witblox DIY blocks	Z4F7ewhnLxI
20231212	DIY hovercraft with CPU fan	d4yqC8wEG1A
20231210	Installing my new TPLink 5 Port Gigabit switch	HxgOEtK-QPw
20231209	I converted my frisbee into a revolving car	cOI05i5YZZI
20231129	Simple profit and loss sheet of projects by a 6 yo	ufiQVMru5vw
20231126	Grade-1 student makes a DIY clothes washer using cordless drill	FSNckQd0JKo
20231126	Grade -1 student explains different lenses on Sony Alpha 6000 mirrorless dslr camera	Gv0fls-bX4U
20231126	Grade-1 student tells how to use a camera tripod	Z6cKAopsqiU
20231122	6 yo makes a homemade Mini Washer Made with Drill and batter beater blade	1eQ24TJqJpo
20231122	Grade-1 student converts his cycle to battery powered using cordless drill	quEQIHJuWpo
20231121	6 yo making a DIY cordless, drill-powered bicycle	sEcY74XkafU
20231118	6 yo explains DC motors, controller, batteries, switch and connector.	lELBUI_FbKc
20231118	Motor skateboard - Introducing my next project	PFsqqc5ewEw
20231118	Grade-1 student goes to shop components for his robotic projects	K_kb4Gv7Zek
20231115	Candid discussion on School and Studies : Podcast Episode 5	uJnP6LO11Qg
20231114	Grade-1 student uploads his own video on YouTube by himself	81NGmwXCL_0
20231114	Doing my homework - about my pet (I uploaded this video on my own)	-bothtE11wE
20231112	Explore my little garden	YhB0W3VF1oE
20231109	Junior's Big Business Idea Revealed: Episode 4 Unboxed!	YmuvQGGqPjE
20231108	Podcast Ep. 3: Junior's Microbit Journey: First Project Discussion	yjlsA9N5Q4k
20231107	Podcast Episode 2: Exploring the World of DC Motors with Junior.	gnL9J-WeIfQ
20231106	Our first podcast : We discuss our next project	D58JXzPdzcY
20231101	6 yo makes a 4x4 BO Motor Off-Road car	BHq3L4KWyNQ
20231101	Unleashing the Adventure: Showcasing My Off-Roading BO Motor Car!	gPJinDKw50c
20231031	How to make idli batter in Ultra wet grinder	IRRKbHgHlCg
20231031	DIY Mini Dust Cleaner: Transforming a Toothbrush Head with a DC Motor!	XVlOLU7cj8Y
20231020	Creating a Robotic Table: Watch It Move with BO Motors!	CRJisgls0UY
20231018	Unlocking the Power of Python: Programming the BBC Microbit Controller!	LuWPDUw1bb8
20231017	Python Power: Microbit Motor Control – Unleash the Possibilities!	xCr-YKFUK5I
20231017	Exploring Motor Control with Microbit and Python: #microbit #python #motors	y9naoqIcfi8
20231016	Motorized Magic Table: Easiest Way to Transport Garden Pots!	82LemmFWvr8
20231015	Connecting to the Internet on Selligion Computer: Step-by-Step Guide	WNUn8jIHbn0
20231015	How to connect Bluetooth Soundbar to Selligion computer	WMHDlom7mJE
20231006	How to replace Hawkins Futura cooker handle	07-JK7rkAqI
20230924	Snack in Style: Building a BO Motor Food Crane!	-ae28_BGAn8
